店名,郵便番号,住所,緯度,経度,発泡トレー,透明トレー,卵パック,牛乳パック,飲料缶,アルミ缶,スチール缶,ペットボトル,ペットボトルキャップ,新聞・チラシ,雑誌,雑紙,段ボール,家庭用食用油,きずなBOX,*,*
フードスクエアカスミ（学園店）,3050032,茨城県つくば市竹園２丁目１２−１,36.076969,140.119231,t,t,t,t,f,t,t,t,t,t,t,t,f,f,f,f,f
ジェーソン（つくば竹園店）,3050032,茨城県つくば市竹園２丁目８−１８,36.078150,140.120341,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
ヨークベニマル（つくば竹園店）,3050032,茨城県つくば市竹園１丁目３−１,36.080706,140.117108,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f
Seiyu（つくば竹園店）,3050032,茨城県つくば市竹園１丁目９−２,36.077728,140.115108,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
ロピア（トナリエクレオ店）,3050031,茨城県つくば市吾妻１丁目７−１ トナリエクレオ １階,36.080656,140.112435,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
カスミプルシェ（つくばキュート店）,3050031,茨城県つくば市吾妻１丁目６−１ キュート １Ｆ,36.081450,140.111235,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
カスミグラン・プルシェ,3050034,茨城県つくば市小野崎千駄苅２７８ １,36.073569,140.102701,t,t,t,t,f,t,t,t,t,f,f,f,f,f,t,f,f
とりせん（研究学園店）,3050817,茨城県つくば市研究学園５丁目１８−１,36.084098,140.084736,t,f,f,t,f,t,t,t,t,t,t,f,t,f,f,f,f
フードスクエアカスミ（つくばスタイル店）,3050817,茨城県つくば市研究学園５−１９,36.085494,140.083945,t,t,t,t,f,t,t,t,t,f,f,f,f,f,f,f,f
タイヨー（学園の森店）,3050816,茨城県つくば市学園の森２丁目１４−３,36.093891,140.075882,t,t,t,t,t,t,f,t,t,f,f,f,f,f,f,f,f
業務スーパー（つくば学園の森店）,3050816,茨城県つくば市学園の森２丁目１４−４４,36.094614,140.076131,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
フードスクエアカスミ（学園の森店）,3050816,茨城県つくば市学園の森２丁目３４−４,36.100797,140.077761,t,t,t,t,f,t,t,t,t,t,t,t,f,f,f,f,f
スーパーセンタートライアル（学園都市店）,3050816,茨城県つくば市学園の森３丁目１２番地６,36.095783,140.086721,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f
カスミ（筑波大学店）,3050005,茨城県つくば市天久保３−１−１０,36.099290,140.103421,t,f,f,t,f,t,f,t,t,f,f,f,f,f,f,f,f
フードスクエアカスミ（テクノパーク桜店）,3050003,茨城県つくば市桜1-22,36.112976,140.114445,t,t,t,t,f,t,t,t,t,t,t,t,f,f,f,f,f
ジェーソン（つくば桜店）,3050003,茨城県つくば市桜２丁目５１−２,36.113278,140.113818,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
スーパーまるも（学園店）,3050003,茨城県つくば市桜３丁目５−２,36.112287,140.116573,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f
ヨークベニマル（つくばさくらの杜店）,3050019,茨城県つくば市さくらの森25番地5,36.105944,140.126624,t,f,f,t,f,f,f,t,f,t,t,t,t,f,f,f,f
